name,url
Rajasthan Patrika,https://www.youtube.com/@RajasthanPatrikaTV/live
AajTak HD,https://www.youtube.com/@aajtak/live
ABP News,https://www.youtube.com/@ABPNEWS/live
NDTV,https://www.youtube.com/@NDTV/live
NDTV Rajasthan,https://www.youtube.com/@NDTVRajasthan/live
News18 Rajasthan,https://www.youtube.com/@News18India/live
Zee Rajasthan,https://www.youtube.com/@zeenews/live
First India News,https://www.youtube.com/user/firstindiatv/live
A1TV,https://www.youtube.com/@A1TVNEWSOfficial/live
News18 India,https://www.youtube.com/@News18India/live
India TV,https://www.youtube.com/@IndiaTV/live
DD News,https://www.youtube.com/@DDnews/live
DD National,https://www.youtube.com/DoordarshanNational/live
TIMES NOW Navbharat,https://www.youtube.com/@timesnownavbharat/live
Jansatta,https://www.youtube.com/@Jansatta/live
Good News Today,https://www.youtube.com/@GoodNewsTodayOfficial/live
Zee Delhi-NCR Haryana,https://www.youtube.com/@ZeeDelhiNcrHaryana/live
Republic Bharat,https://www.youtube.com/@RepublicBharat/live
TV9 Bharatvarsh,https://www.youtube.com/@TV9Bharatvarsh/live
ANI Bharat,https://www.youtube.com/@ANINewsBharat/live
News Nation,https://www.youtube.com/@NewsNationTV/live
News 24,https://www.youtube.com/@News24thinkfirst/live
ET Now Swadesh,https://www.youtube.com/@etnowswadesh/live
Sansad TV,https://www.youtube.com/sansadtv/live
The Lallantop,https://www.youtube.com/@TheLallantop/live
Firstpost,https://www.youtube.com/@Firstpost/live
CNN-News18,https://www.youtube.com/@cnnnews18/live
Times Now,https://www.youtube.com/@TimesNow/live
The Indian Express,https://www.youtube.com/@indianexpress/live
Mint,https://www.youtube.com/@livemint/live
India Today,https://www.youtube.com/@indiatoday/live
Premanand Ji,https://www.youtube.com/@Vrindavan-PremRas/live
Tips Music,https://www.youtube.com/TipsOfficial/live
Boomerang UK,https://www.youtube.com/@BoomerangUK/live
Spider-Man,https://www.youtube.com/@Lifehero286/live
Love Nature,https://www.youtube.com/lovenature/live
Sky News,https://www.youtube.com/@SkyNews/live
Al Jazeera English,https://www.youtube.com/@aljazeeraenglish/live
BBC Earth,https://www.youtube.com/@bbcearth/live
